epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,307.405,1.63828,2.61677,1.51436,0.47541,0.42862,0.40613,0.18747,1.64859,4.53611,1.46547,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,520.918,1.69081,1.92888,1.53687,0.42748,0.36425,0.33095,0.1429,1.77206,3.30497,1.55335,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,716.348,1.8087,1.9912,1.63351,0.44555,0.3677,0.34693,0.13992,1.94047,7.67422,1.77989,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,904.287,1.82025,1.99056,1.65461,0.45436,0.38353,0.37352,0.16823,1.8092,3.36901,1.5855,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1092.82,1.75909,1.8516,1.62362,0.528,0.45122,0.45188,0.21578,1.666,3.315,1.49179,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1280.89,1.69978,1.75586,1.57004,0.55182,0.47053,0.49282,0.23869,1.65043,3.56446,1.49042,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1471.18,1.65854,1.68231,1.54725,0.61483,0.51739,0.54897,0.27824,1.56159,2.4483,1.38808,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1662.31,1.62425,1.62407,1.51275,0.54253,0.52974,0.53555,0.27557,1.54012,3.64541,1.4098,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1853.94,1.6003,1.57645,1.50021,0.60158,0.52734,0.56664,0.29241,1.52509,2.03786,1.38273,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2044.62,1.58588,1.52699,1.48251,0.63998,0.53965,0.59472,0.31632,1.48854,2.05643,1.35019,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2235.11,1.55958,1.50745,1.46793,0.6362,0.55782,0.61015,0.31983,1.45384,2.36766,1.32647,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2426.98,1.54413,1.46952,1.46006,0.64213,0.57601,0.62018,0.33697,1.46157,1.99339,1.32427,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2618.03,1.53455,1.43987,1.44918,0.64796,0.59097,0.62976,0.33944,1.45374,2.09177,1.31909,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2807.3,1.52335,1.41745,1.43854,0.65604,0.57927,0.62911,0.33763,1.44934,1.84708,1.30444,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2997.58,1.51297,1.38584,1.4205,0.67359,0.58688,0.6428,0.35105,1.42949,1.79368,1.30449,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3187.76,1.49779,1.37264,1.4236,0.68713,0.59396,0.65791,0.35617,1.41015,1.66575,1.27741,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3377,1.49536,1.35494,1.41449,0.67196,0.62468,0.66625,0.36413,1.40287,1.47874,1.27877,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3566.12,1.47752,1.32156,1.4039,0.70606,0.60687,0.67628,0.37661,1.36627,1.51706,1.25477,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3751.9,1.46644,1.31886,1.39873,0.69523,0.60766,0.67713,0.37592,1.37752,1.59774,1.25464,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3936.46,1.46177,1.30291,1.39325,0.68358,0.64416,0.68966,0.38393,1.38677,1.42813,1.25595,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4121.88,1.45252,1.2834,1.38673,0.70629,0.63026,0.69302,0.38526,1.37575,1.39063,1.25879,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4305.62,1.44923,1.27087,1.37923,0.72669,0.61823,0.69216,0.38952,1.356,1.34034,1.2418,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4490.29,1.43275,1.25902,1.37383,0.72059,0.62941,0.69824,0.39507,1.3613,1.2889,1.24599,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4674.62,1.42075,1.24433,1.36326,0.72967,0.63332,0.70583,0.40127,1.34269,1.41751,1.23688,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4858.53,1.4142,1.22188,1.35861,0.72231,0.64195,0.71151,0.40844,1.34945,1.30174,1.22776,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5042.7,1.41678,1.2084,1.35757,0.74051,0.64431,0.72165,0.40932,1.34666,1.25808,1.22697,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
